cik_str,Tickers,title,Sector,Sector_Check
1284237,ABCFF,ABACUS MINING & EXPLORATION CORP,Basic Materials,True
1703057,ABCL,AbCellera Biologics Inc.,Healthcare,True
20639,ABCP,AmBase Corp,Real Estate,True
318306,ABEO,ABEONA THERAPEUTICS INC.,Healthcare,True
1565025,ABEV,AMBEV S.A.,Consumer Defensive,True
1144980,ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclical,True
1095146,ABIT,Athena Bitcoin Global,Financial Services,True
1814287,ABL,"Abacus Life, Inc.",Financial Services,True
1814287,ABLLL,"Abacus Life, Inc.",,True
1814287,ABLLW,"Abacus Life, Inc.",,True
1957489,ABLV,Able View Global Inc.,Communication Services,True
1957489,ABLVW,Able View Global Inc.,Communication Services,True
1091587,ABLZF,ABB LTD,Industrials,True
771497,ABM,ABM INDUSTRIES INC /DE/,Industrials,True
896747,ABMC,AMERICAN BIO MEDICA CORP,Healthcare,True
1559720,ABNB,"Airbnb, Inc.",Consumer Cyclical,True
1576885,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,True
1893219,ABP,"Abpro Holdings, Inc.",Healthcare,True
1893219,ABPWW,"Abpro Holdings, Inc.",Healthcare,True
1605331,ABQQ,AB INTERNATIONAL GROUP CORP.,Communication Services,True
1253986,ABR,ARBOR REALTY TRUST INC,Real Estate,True
1253986,ABR-PD,ARBOR REALTY TRUST INC,Real Estate,True
1253986,ABR-PE,ARBOR REALTY TRUST INC,Real Estate,True
1253986,ABR-PF,ARBOR REALTY TRUST INC,Real Estate,True
1672688,ABSI,Absci Corp,Healthcare,True
1800,ABT,ABBOTT LABORATORIES,Healthcare,True
1442999,ABTI,ALTEROLA BIOTECH INC.,Healthcare,True
1864055,ABTS,Abits Group Inc,Financial Services,True
1447028,ABUS,Arbutus Biopharma Corp,Healthcare,True
1173313,ABVC,"ABVC BIOPHARMA, INC.",Healthcare,True
1979484,ABVE,Above Food Ingredients Inc.,Consumer Defensive,True
1979484,ABVEW,Above Food Ingredients Inc.,Consumer Defensive,True
1956827,ABVX,Abivax S.A.,Healthcare,True
1971975,ABXXF,Abaxx Technologies Inc.,Technology,True
1642122,AC,"Associated Capital Group, Inc.",Financial Services,True
1739445,ACA,"Arcosa, Inc.",Industrials,True
1070494,ACAD,ACADIA PHARMACEUTICALS INC,Healthcare,True
1508348,ACAN,"AmeriCann, Inc.",Real Estate,True
1683541,ACB,AURORA CANNABIS INC,Healthcare,True
1481646,ACCD,"Accolade, Inc.",,True
712034,ACCO,ACCO BRANDS Corp,Industrials,True
1881487,ACDC,ProFrac Holding Corp.,Energy,True
1698991,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,True
1720580,ACET,"Adicet Bio, Inc.",Healthcare,True
880984,ACFN,"ACORN ENERGY, INC.",Technology,True
947484,ACGL,ARCH CAPITAL GROUP LTD.,Financial Services,True
947484,ACGLN,ARCH CAPITAL GROUP LTD.,Financial Services,True
947484,ACGLO,ARCH CAPITAL GROUP LTD.,Financial Services,True
1520697,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,True
1830749,ACHL,Achilles Therapeutics plc,,True
1824502,ACHR,Archer Aviation Inc.,Industrials,True
1824502,ACHR-WT,Archer Aviation Inc.,,True
949858,ACHV,"ACHIEVE LIFE SCIENCES, INC.",Healthcare,True
1646972,ACI,"Albertsons Companies, Inc.",Consumer Defensive,True
1401521,ACIC,AMERICAN COASTAL INSURANCE Corp,Financial Services,True
1651625,ACIU,AC Immune SA,Healthcare,True
935036,ACIW,"ACI WORLDWIDE, INC.",Technology,True
1883984,ACLEW,"Alternus Clean Energy, Inc.",,True
1113232,ACLS,AXCELIS TECHNOLOGIES INC,Technology,True
1786205,ACLX,"Arcellx, Inc.",Healthcare,True
868857,ACM,AECOM,Industrials,True
1598323,ACMB,AGRO CAPITAL MANAGEMENT CORP.,Industrials,True
1680062,ACMR,"ACM Research, Inc.",Technology,True
1467373,ACN,Accenture plc,Technology,True
715579,ACNB,ACNB CORP,Financial Services,True
95953,ACNT,ASCENT INDUSTRIES CO.,Basic Materials,True
1655923,ACOG,Alpha Cognition Inc.,Healthcare,True
1635077,ACON,"Aclarion, Inc.",Healthcare,True
1635077,ACONW,"Aclarion, Inc.",Healthcare,True
1503290,ACP,abrdn Income Credit Strategies Fund,Financial Services,True
1503290,ACP-PA,abrdn Income Credit Strategies Fund,Financial Services,True
1133116,ACPS,"AC Partners, Inc.",Industrials,True
1332551,ACR,ACRES Commercial Realty Corp.,Real Estate,True
1332551,ACR-PC,ACRES Commercial Realty Corp.,Real Estate,True
1332551,ACR-PD,ACRES Commercial Realty Corp.,Real Estate,True
1762359,ACRDF,"Acreage Holdings, Inc.",,True
1529377,ACRE,Ares Commercial Real Estate Corp,Real Estate,True
773717,ACRG,"American Clean Resources Group, Inc.",Basic Materials,True
1584618,ACRL,"Atacama Resources International, Inc.",Basic Materials,True
1557746,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,True
1781174,ACRV,"Acrivon Therapeutics, Inc.",Healthcare,True
1823529,ACT,"Enact Holdings, Inc.",Financial Services,True
934549,ACTG,ACACIA RESEARCH CORP,Industrials,True
1652935,ACTU,"ACTUATE THERAPEUTICS, INC.",Healthcare,True
2098,ACU,ACME UNITED CORP,Consumer Defensive,True
786947,ACUR,"ACURA PHARMACEUTICALS, INC",Healthcare,True
1850767,ACUT,Accustem Sciences Inc.,Healthcare,True
1636289,ACV,Virtus Diversified Income & Convertible Fund,Financial Services,True
1637873,ACVA,ACV Auctions Inc.,Consumer Cyclical,True
1736243,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,True
1994373,ACZT,Aceztech Corp,,True
1818838,ADAG,Adagene Inc.,Healthcare,True
1621227,ADAP,Adaptimmune Therapeutics PLC,Healthcare,True
796343,ADBE,ADOBE INC.,Technology,True
917251,ADC,AGREE REALTY CORP,Real Estate,True
917251,ADC-PA,AGREE REALTY CORP,Real Estate,True
1771910,ADCT,ADC Therapeutics SA,Healthcare,True
1747661,ADD,"Color Star Technology Co., Ltd.",Communication Services,True
1803696,ADEA,Adeia Inc.,Technology,True
2006986,ADGM,"Adagio Medical Holdings, Inc.",Healthcare,True
869531,ADGO,Advantego Corp,Technology,True
6281,ADI,ANALOG DEVICES INC,Technology,True
1160420,ADIA,"Adia Nutrition, Inc.",Financial Services,True
1513525,ADIL,"ADIAL PHARMACEUTICALS, INC.",Healthcare,True
7084,ADM,Archer-Daniels-Midland Co,Consumer Defensive,True
1368514,ADMA,"ADMA BIOLOGICS, INC.",Healthcare,True
1588014,ADMQ,"ADM ENDEAVORS, INC.",Industrials,True
849401,ADMT,"ADM TRONICS UNLIMITED, INC.",Healthcare,True
1744494,ADN,"ADVENT TECHNOLOGIES HOLDINGS, INC.",Industrials,True
1670541,ADNT,Adient plc,Consumer Cyclical,True
1744494,ADNWW,"ADVENT TECHNOLOGIES HOLDINGS, INC.",Industrials,True
1489079,ADOOY,Adaro Energy PT/ADR/,Energy,True
8670,ADP,AUTOMATIC DATA PROCESSING INC,Technology,True
1478320,ADPT,Adaptive Biotechnologies Corp,Healthcare,True
1879248,ADSE,Ads-Tec Energy Public Ltd Co,Industrials,True
1879248,ADSEW,Ads-Tec Energy Public Ltd Co,Industrials,True
769397,ADSK,"Autodesk, Inc.",Technology,True
1703056,ADT,ADT Inc.,Industrials,True
926282,ADTN,"ADTRAN Holdings, Inc.",Technology,True
1158838,ADTTF,ADVANTEST CORP,Technology,True
1726711,ADTX,"Aditxt, Inc.",Healthcare,True
1863934,ADUR,ADURO CLEAN TECHNOLOGIES INC.,Industrials,True
1468328,ADUS,Addus HomeCare Corp,Healthcare,True
1776661,ADV,Advantage Solutions Inc.,Communication Services,True
1501756,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,True
1776661,ADVWW,Advantage Solutions Inc.,Communication Services,True
2230,ADX,"ADAMS DIVERSIFIED EQUITY FUND, INC.",Financial Services,True
1574232,ADXN,Addex Therapeutics Ltd.,Healthcare,True
1100397,ADXS,"Ayala Pharmaceuticals, Inc.",Healthcare,True
1159508,ADZCF,DEUTSCHE BANK AKTIENGESELLSCHAFT,,True
2178,AE,"ADAMS RESOURCES & ENERGY, INC.",,True
1852016,AEAE,AltEnergy Acquisition Corp,Financial Services,True
1852016,AEAEU,AltEnergy Acquisition Corp,Financial Services,True
1852016,AEAEW,AltEnergy Acquisition Corp,Financial Services,True
1002910,AEE,AMEREN CORP,Utilities,True
846676,AEF,"ABRDN EMERGING MARKETS EQUITY INCOME FUND, INC.",Financial Services,True
769218,AEFC,AEGON LTD.,,True
769218,AEG,AEGON LTD.,Financial Services,True
769218,AEGOF,AEGON LTD.,Financial Services,True
1470683,AEHL,Antelope Enterprise Holdings Ltd,Industrials,True
1040470,AEHR,AEHR TEST SYSTEMS,Technology,True
1750106,AEI,Alset Inc.,Real Estate,True
927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,Industrials,True
2809,AEM,AGNICO EAGLE MINES LTD,Basic Materials,True
882291,AEMD,AETHLON MEDICAL INC,Healthcare,True
1823584,AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,Communication Services,True
1823584,AENTW,ALLIANCE ENTERTAINMENT HOLDING CORP,Communication Services,True
919012,AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Cyclical,True
1837607,AEON,"AEON Biopharma, Inc.",Healthcare,True
4904,AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,True
1378789,AER,AerCap Holdings N.V.,Industrials,True
879911,AERG,"APPLIED ENERGETICS, INC.",Technology,True
879911,AERGP,"APPLIED ENERGETICS, INC.",,True
1863116,AERS,Aerius International Inc.,Financial Services,True
1853044,AERT,"Aeries Technology, Inc.",Industrials,True
1853044,AERTW,"Aeries Technology, Inc.",Industrials,True
874761,AES,AES CORP,Utilities,True
1984060,AESI,Atlas Energy Solutions Inc.,Energy,True
1639142,AETHF,Aether Global Innovations Corp.,Industrials,True
1789029,AEVA,"Aeva Technologies, Inc.",Technology,True
1789029,AEVA-WT,"Aeva Technologies, Inc.",,True
1362190,AEYE,AUDIOEYE INC,Technology,True
874292,AEYGQ,ADDVANTAGE TECHNOLOGIES GROUP INC,Technology,True
1162027,AFB,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,Financial Services,True
1823406,AFBI,"Affinity Bancshares, Inc.",Financial Services,True
1822523,AFCG,Advanced Flower Capital Inc.,Real Estate,True
1042046,AFG,AMERICAN FINANCIAL GROUP INC,Financial Services,True
1042046,AFGB,AMERICAN FINANCIAL GROUP INC,,True
1042046,AFGC,AMERICAN FINANCIAL GROUP INC,,True
1042046,AFGD,AMERICAN FINANCIAL GROUP INC,,True
1042046,AFGE,AMERICAN FINANCIAL GROUP INC,,True
1522860,AFIB,"Acutus Medical, Inc.",Healthcare,True
1655075,AFIIQ,"Armstrong Flooring, Inc.",Industrials,True
1979005,AFJK,"Aimei Health Technology Co., Ltd.",Financial Services,True
1979005,AFJKR,"Aimei Health Technology Co., Ltd.",,True
1979005,AFJKU,"Aimei Health Technology Co., Ltd.",Financial Services,True
4977,AFL,AFLAC INC,Financial Services,True
1110452,AFLYY,AIR FRANCE-KLM /FI,Industrials,True
1608390,AFMD,Affimed N.V.,Healthcare,True
1286459,AFOM,ALL FOR ONE MEDIA CORP.,Communication Services,True
1110452,AFRAF,AIR FRANCE-KLM /FI,Industrials,True
1903870,AFRI,Forafric Global PLC,Consumer Defensive,True
1903870,AFRIW,Forafric Global PLC,Consumer Defensive,True
1820953,AFRM,"Affirm Holdings, Inc.",Technology,True
1771007,AFYA,Afya Ltd,Consumer Defensive,True
1308648,AG,FIRST MAJESTIC SILVER CORP,Basic Materials,True
1708341,AGAE,Allied Gaming & Entertainment Inc.,Communication Services,True
880266,AGCO,AGCO CORP /DE,Industrials,True
1362481,AGD,abrdn Global Dynamic Dividend Fund,Financial Services,True
1098972,AGEN,AGENUS INC,Healthcare,True
1800637,AGFY,Agrify Corp,Industrials,True
2009312,AGH,Aureus Greenway Holdings Inc,Consumer Cyclical,True
1178819,AGI,ALAMOS GOLD INC,Basic Materials,True
1790625,AGILQ,"AgileThought, Inc.",Technology,True
1439222,AGIO,"AGIOS PHARMACEUTICALS, INC.",Healthcare,True
1831097,AGL,"agilon health, inc.",Healthcare,True
1673504,AGLY,Atlantis Glory Inc.,Financial Services,True
845877,AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,True
845877,AGM-A,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,True
845877,AGM-PD,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,True
845877,AGM-PE,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,True
845877,AGM-PF,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,True
845877,AGM-PG,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,True
1705402,AGMH,"AGM GROUP HOLDINGS, INC.",Technology,True
1423689,AGNC,AGNC Investment Corp.,Real Estate,True
1423689,AGNCL,AGNC Investment Corp.,Real Estate,True
1423689,AGNCM,AGNC Investment Corp.,Real Estate,True
1423689,AGNCN,AGNC Investment Corp.,Real Estate,True
1423689,AGNCO,AGNC Investment Corp.,Real Estate,True
1423689,AGNCP,AGNC Investment Corp.,Real Estate,True
1642178,AGNPF,Algernon Pharmaceuticals Inc.,Healthcare,True
1273813,AGO,ASSURED GUARANTY LTD,Financial Services,True
1415311,AGQ,ProShares Trust II,,True
1174169,AGQPF,ALGONQUIN POWER & UTILITIES CORP.,,True
1634997,AGR,"Avangrid, Inc.",,True
1826397,AGRI,AGRIFORCE GROWING SYSTEMS LTD.,Consumer Defensive,True
1499505,AGRO,Adecoagro S.A.,Consumer Defensive,True
1593548,AGS,"PlayAGS, Inc.",Consumer Cyclical,True
1514443,AGSS,"AMERIGUARD SECURITY SERVICES, INC.",Industrials,True
1603345,AGTX,Agentix Corp.,Healthcare,True
100591,AGX,ARGAN INC,Industrials,True
1482436,AGXPF,SILVER X MINING CORP.,Basic Materials,True
78749,AGYS,AGILYSYS INC,Technology,True
1725255,AHCO,AdaptHealth Corp.,Healthcare,True
1702318,AHG,Akso Health Group,Healthcare,True
1569187,AHH,"Armada Hoffler Properties, Inc.",Real Estate,True
1569187,AHH-PA,"Armada Hoffler Properties, Inc.",Real Estate,True
1267395,AHL-PC,ASPEN INSURANCE HOLDINGS LTD,,True
1267395,AHL-PD,ASPEN INSURANCE HOLDINGS LTD,Financial Services,True
1267395,AHL-PE,ASPEN INSURANCE HOLDINGS LTD,Financial Services,True
1267395,AHL-PF,ASPEN INSURANCE HOLDINGS LTD,,True
1304409,AHNR,ATHENA GOLD CORP,Basic Materials,True
874710,AHPIQ,ALLIED HEALTHCARE PRODUCTS INC,,True
1632970,AHR,"American Healthcare REIT, Inc.",Real Estate,True
1338929,AHRO,"Authentic Holdings, Inc.",Consumer Cyclical,True
1232582,AHT,ASHFORD HOSPITALITY TRUST INC,Real Estate,True
1232582,AHT-PD,ASHFORD HOSPITALITY TRUST INC,Real Estate,True
1232582,AHT-PF,ASHFORD HOSPITALITY TRUST INC,Real Estate,True
1232582,AHT-PG,ASHFORD HOSPITALITY TRUST INC,Real Estate,True
1232582,AHT-PH,ASHFORD HOSPITALITY TRUST INC,Real Estate,True
1232582,AHT-PI,ASHFORD HOSPITALITY TRUST INC,Real Estate,True
1577526,AI,"C3.ai, Inc.",Technology,True
743758,AIAD,"AiAdvertising, Inc.",Technology,True
1702015,AIDG,"AIS Holdings Group, Inc.",,True
1912582,AIEV,"Thunder Power Holdings, Inc.",Consumer Cyclical,True
803578,AIFF,"FIREFLY NEUROSCIENCE, INC.",Technology,True
1413855,AIFU,AIX Inc.,Financial Services,True
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financial Services,True
1711012,AIHS,Senmiao Technology Ltd,Financial Services,True
1713923,AIJTY,Jianpu Technology Inc.,Financial Services,True
1835972,AILE,"iLearningEngines, Inc.",Technology,True
1835972,AILEW,"iLearningEngines, Inc.",,True
18654,AILIH,Ameren Illinois Co,Utilities,True
18654,AILIM,Ameren Illinois Co,Utilities,True
18654,AILIN,Ameren Illinois Co,Utilities,True
18654,AILIO,Ameren Illinois Co,,True
18654,AILIP,Ameren Illinois Co,,True
18654,AILLI,Ameren Illinois Co,Utilities,True
18654,AILLM,Ameren Illinois Co,Utilities,True
18654,AILLN,Ameren Illinois Co,Utilities,True
18654,AILLO,Ameren Illinois Co,Utilities,True
18654,AILLP,Ameren Illinois Co,,True
946644,AIM,AIM ImmunoTech Inc.,Healthcare,True
1903464,AIMA,Aimfinity Investment Corp. I,,True
1903464,AIMAU,Aimfinity Investment Corp. I,Financial Services,True
1903464,AIMAW,Aimfinity Investment Corp. I,Financial Services,True
1903464,AIMBU,Aimfinity Investment Corp. I,Financial Services,True
1014763,AIMD,"Ainos, Inc.",Healthcare,True
1014763,AIMDW,"Ainos, Inc.",Healthcare,True
819793,AIN,ALBANY INTERNATIONAL CORP /DE/,Consumer Cyclical,True
1778114,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,Financial Services,True
1774170,AIOT,"Powerfleet, Inc.",Technology,True
1667011,AIP,"Arteris, Inc.",Technology,True
1161167,AIQUF,L AIR LIQUIDE SA /FI,Basic Materials,True
1161167,AIQUY,L AIR LIQUIDE SA /FI,Basic Materials,True
1750,AIR,AAR CORP,Industrials,True
1859199,AIRE,reAlpha Tech Corp.,Real Estate,True
1272842,AIRG,AIRGAIN INC,Technology,True
1009891,AIRI,AIR INDUSTRIES GROUP,Industrials,True
1855474,AIRJ,AirJoule Technologies Corp.,Industrials,True
1855474,AIRJW,AirJoule Technologies Corp.,Industrials,True
1476573,AIRRF,Aurion Resources Ltd.,Basic Materials,True
1870940,AIRS,"Airsculpt Technologies, Inc.",Healthcare,True
353184,AIRT,AIR T INC,Industrials,True
353184,AIRTP,AIR T INC,Industrials,True
1842566,AISP,"Airship AI Holdings, Inc.",Technology,True
1842566,AISPW,"Airship AI Holdings, Inc.",Technology,True
109563,AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,Industrials,True
1966734,AITR,AI Transportation Acquisition Corp,Financial Services,True
1966734,AITRR,AI Transportation Acquisition Corp,,True
1966734,AITRU,AI Transportation Acquisition Corp,Financial Services,True
1498148,AITX,Artificial Intelligence Technology Solutions Inc.,Industrials,True
1932244,AIUG,"AI Unlimited Group, Inc.",Technology,True
922864,AIV,APARTMENT INVESTMENT & MANAGEMENT CO,Real Estate,True
1935172,AIXI,Xiao-I Corp,Technology,True
835662,AIXN,"AiXin Life International, Inc.",Consumer Defensive,True
1267238,AIZ,"ASSURANT, INC.",Financial Services,True
1267238,AIZN,"ASSURANT, INC.",,True
354190,AJG,Arthur J. Gallagher & Co.,Financial Services,True
1865107,AKA,A.K.A. BRANDS HOLDING CORP.,Consumer Cyclical,True
1086222,AKAM,AKAMAI TECHNOLOGIES INC,Technology,True
1888014,AKAN,AKANDA CORP.,Healthcare,True
1517022,AKBA,"Akebia Therapeutics, Inc.",Healthcare,True
925261,AKO-A,ANDINA BOTTLING CO INC,Consumer Defensive,True
925261,AKO-B,ANDINA BOTTLING CO INC,Consumer Defensive,True
1590496,AKOM,Aerkomm Inc.,Technology,True
899629,AKR,ACADIA REALTY TRUST,Real Estate,True
1744659,AKRO,"Akero Therapeutics, Inc.",Healthcare,True
1584754,AKTS,"Akoustis Technologies, Inc.",Technology,True
1584754,AKTSQ,"Akoustis Technologies, Inc.",Technology,True
1541157,AKTX,Akari Therapeutics Plc,Healthcare,True
1711933,AKYA,"Akoya Biosciences, Inc.",Healthcare,True
1487712,AL,AIR LEASE CORP,Industrials,True
1736297,ALAB,"Astera Labs, Inc.",Technology,True
1725332,ALAR,Alarum Technologies Ltd.,Technology,True
915913,ALB,ALBEMARLE CORP,Basic Materials,True
915913,ALB-PA,ALBEMARLE CORP,Basic Materials,True
1630212,ALBT,Avalon GloboCare Corp.,Real Estate,True
1167379,ALC,ALCON INC,Healthcare,True
1883984,ALCE,"Alternus Clean Energy, Inc.",Utilities,True
3545,ALCO,"ALICO, INC.",Consumer Defensive,True
1901336,ALCY,Alchemy Investments Acquisition Corp 1,Financial Services,True
1901336,ALCYU,Alchemy Investments Acquisition Corp 1,Financial Services,True
1901336,ALCYW,Alchemy Investments Acquisition Corp 1,,True
1062506,ALDA,ATLANTICA INC,Financial Services,True
2031561,ALDF,Aldel Financial II Inc.,Financial Services,True
2031561,ALDFU,Aldel Financial II Inc.,Financial Services,True
2031561,ALDFW,Aldel Financial II Inc.,Financial Services,True
1755101,ALDS,APPlife Digital Solutions Inc,Technology,True
1341235,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,True
66756,ALE,ALLETE INC,Utilities,True
1653087,ALEC,"Alector, Inc.",Healthcare,True
1545654,ALEX,"Alexander & Baldwin, Inc.",Real Estate,True
2010930,ALF,Centurion Acquisition Corp.,Financial Services,True
1833908,ALFIQ,"Alfi, Inc.",Technology,True
2010930,ALFUU,Centurion Acquisition Corp.,Financial Services,True
2010930,ALFUW,Centurion Acquisition Corp.,Financial Services,True
897077,ALG,ALAMO GROUP INC,Industrials,True
866291,ALGM,"ALLEGRO MICROSYSTEMS, INC.",Technology,True
1097149,ALGN,ALIGN TECHNOLOGY INC,Healthcare,True
1799448,ALGS,"Aligos Therapeutics, Inc.",Healthcare,True
1362468,ALGT,Allegiant Travel CO,Industrials,True
1832466,ALHC,"Alignment Healthcare, Inc.",Healthcare,True
1575295,ALID,Allied Corp.,Healthcare,True
1809104,ALIT,"Alight, Inc. / Delaware",Technology,True
1034670,ALIV,AUTOLIV INC,,True
766421,ALK,"ALASKA AIR GROUP, INC.",Industrials,True
1520262,ALKS,Alkermes plc.,Healthcare,True
1529274,ALKT,"ALKAMI TECHNOLOGY, INC.",Technology,True
899051,ALL,ALLSTATE CORP,Financial Services,True
899051,ALL-PB,ALLSTATE CORP,,True
899051,ALL-PH,ALLSTATE CORP,Financial Services,True
899051,ALL-PI,ALLSTATE CORP,Financial Services,True
899051,ALL-PJ,ALLSTATE CORP,Financial Services,True
1579241,ALLE,Allegion plc,Industrials,True
1874474,ALLGF,Allego N.V.,Consumer Cyclical,True
1564824,ALLK,Allakos Inc.,Healthcare,True
1737287,ALLO,"Allogene Therapeutics, Inc.",Healthcare,True
1860657,ALLR,"Allarity Therapeutics, Inc.",Healthcare,True
1365767,ALLT,Allot Ltd.,Technology,True
40729,ALLY,Ally Financial Inc.,Financial Services,True
1161611,ALMMF,ALUMINUM CORP OF CHINA LTD,Basic Materials,True
1956237,ALMP,Almco Plumbing Inc,,True
1847367,ALMS,ALUMIS INC.,Healthcare,True
1828805,ALMU,"Aeluma, Inc.",Technology,True
46129,ALNT,ALLIENT INC,Technology,True
1178670,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",Healthcare,True
8146,ALOT,"AstroNova, Inc.",Technology,True
1606698,ALPP,"ALPINE 4 HOLDINGS, INC.",Industrials,True
1459200,ALRM,"Alarm.com Holdings, Inc.",Technology,True
1420565,ALRN,"Aileron Therapeutics, Inc.",,True
903419,ALRS,ALERUS FINANCIAL CORP,Financial Services,True
1930419,ALRTF,ALR Technologies SG Ltd.,Healthcare,True
1865111,ALSA,Alpha Star Acquisition Corp,Financial Services,True
1865111,ALSAR,Alpha Star Acquisition Corp,,True
1865111,ALSAU,Alpha Star Acquisition Corp,Financial Services,True
1865111,ALSAW,Alpha Star Acquisition Corp,,True
1062066,ALSMY,ALSTOM,Industrials,True
1411207,ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,True
1326190,ALT,"Altimmune, Inc.",Healthcare,True
1642365,ALTB,Alpine Auto Brokers Inc.,Consumer Cyclical,True
1759824,ALTG,ALTA EQUIPMENT GROUP INC.,Industrials,True
1759824,ALTG-PA,ALTA EQUIPMENT GROUP INC.,Industrials,True
1838615,ALTI,"AlTi Global, Inc.",Financial Services,True
1977303,ALTM,Arcadium Lithium plc,,True
778164,ALTO,"Alto Ingredients, Inc.",Basic Materials,True
1701732,ALTR,Altair Engineering Inc.,,True
862861,ALTS,ALT5 Sigma Corp,Technology,True
775057,ALTX,ALTEX INDUSTRIES INC,Energy,True
1964979,ALUR,"ALLURION TECHNOLOGIES, INC.",Healthcare,True
1964979,ALUR-WT,"ALLURION TECHNOLOGIES, INC.",,True
1034670,ALV,AUTOLIV INC,Consumer Cyclical,True
1898416,ALVO,Alvotech,Healthcare,True
1898416,ALVOW,Alvotech,Healthcare,True
1754068,ALVR,"Allovir, Inc.",,True
3499,ALX,ALEXANDERS INC,Real Estate,True
1810182,ALXO,ALX ONCOLOGY HOLDINGS INC,Healthcare,True
1734520,ALYAF,Alithya Group inc,Technology,True
1677077,ALZN,"Alzamend Neuro, Inc.",Healthcare,True
1623925,AM,Antero Midstream Corp,Energy,True
1823608,AMAL,Amalgamated Financial Corp.,Financial Services,True
6951,AMAT,APPLIED MATERIALS INC /DE,Technology,True
1280263,AMBA,AMBARELLA INC,Technology,True
874501,AMBC,AMBAC FINANCIAL GROUP INC,Financial Services,True
1937441,AMBI,Ambipar Emergency Response,Industrials,True
1937441,AMBI-WT,Ambipar Emergency Response,,True
1494558,AMBO,Ambow Education Holding Ltd.,Consumer Defensive,True
1845097,AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,True
1845097,AMBP-WT,Ardagh Metal Packaging S.A.,,True
